M,57,39000,95050
F,63,41000,95102
M,55,99000,94040
M,51,58000,95102
M,75,43000,95101
M,94,11000,95051
M,28,6000,94041
M,14,0,95102
M,3,0,95101
M,25,26000,94040
M,71,69000,95102
F,7,0,95102
M,95,12000,95105
F,36,61000,95101
M,86,65000,95051
F,17,0,95103
F,44,96000,94041
M,98,37000,95102
F,33,53000,94040
F,35,27000,94041
F,20,0,95103
M,67,54000,95051
F,13,0,94041
F,69,45000,94041
M,51,57000,95051
M,82,16000,94041
M,27,14000,95105
M,16,0,95101
M,98,31000,94040
M,56,96000,95105
F,31,84000,95102
M,71,12000,95103
F,43,30000,95101
M,74,75000,95101
M,16,0,95101
M,10,0,95101
M,84,75000,94041
F,1,0,95050
F,55,42000,94040
F,69,48000,95102
F,22,16000,95105
F,44,85000,95101
F,61,72000,95101
M,29,18000,95105
M,34,81000,95102
M,8,0,95105
F,51,89000,94041
F,61,80000,95050
F,41,78000,95105
M,74,93000,95102
M,62,49000,95102
F,3,0,95050
M,28,98000,95103
M,9,0,95051
F,80,69000,95051
F,47,57000,94040
M,99,76000,95051
M,84,12000,95102
M,47,58000,95050
F,76,96000,94040
F,47,37000,95051
F,11,0,95102
F,58,20000,94040
M,19,0,94041
M,70,26000,94041
F,72,61000,94040
M,26,59000,95051
F,83,79000,94041
M,45,31000,95102
M,94,13000,94040
M,29,87000,95101
F,14,0,95051
F,17,0,95101
M,73,99000,95105
F,62,68000,94040
F,11,0,95102
F,60,96000,94041
F,0,0,95105
M,89,69000,95105
F,67,69000,95102
M,81,30000,94041
M,53,44000,95051
M,98,7000,94041
M,86,97000,95101
F,12,0,94040
M,44,7000,95105
F,64,88000,95105
M,89,54000,94041
F,23,28000,95051
F,87,33000,95102
M,58,92000,95051
M,24,58000,95102
F,99,4000,95103
M,65,98000,94041
M,45,52000,95051
M,90,42000,95105
M,55,50000,95051
M,39,4000,94040
F,2,0,95105
M,99,71000,95105
M,16,0,95101
F,57,3000,95101
M,85,51000,95101
M,21,42000,95101
M,34,97000,95101
M,14,0,95102
M,75,57000,94040
F,90,97000,95050
M,16,0,95050
F,64,81000,95103
M,56,96000,95050
M,40,59000,95051
M,24,30000,95103
M,52,37000,95103
F,93,54000,94041
M,80,19000,95103
F,94,68000,95105
M,0,0,95105
F,35,87000,95103
M,75,67000,94041
M,32,81000,95101
F,22,44000,95103
M,20,0,94040
M,53,30000,95103
F,75,25000,95050
M,93,58000,94041
M,52,30000,95103
F,17,0,94040
F,45,87000,95101
F,38,14000,95050
F,46,84000,94041
F,30,95000,95050
M,31,84000,95101
F,28,29000,94040
F,99,90000,95103
F,72,86000,95103
M,58,10000,94040
F,8,0,95102
F,58,20000,95103
M,27,38000,95102
F,98,63000,95050
F,31,41000,95102
M,82,8000,95102
M,77,57000,94041
F,54,32000,94041
M,13,0,95101
M,26,22000,94041
M,92,40000,95101
M,39,69000,95105
M,67,30000,95051
F,85,7000,95101
M,75,25000,95051
M,48,43000,95101
M,74,50000,95050
M,82,66000,94041
M,36,73000,94040
M,30,66000,95051
M,16,0,95050
M,87,62000,95050
F,41,99000,95050
M,36,5000,94040
M,10,0,94041
M,75,30000,95102
M,77,19000,95050
M,43,13000,95101
F,34,21000,94040
M,77,39000,95101
M,24,55000,95105
F,76,42000,95051
F,80,24000,95051
F,39,87000,95105
M,5,0,95051
F,93,10000,94040
F,85,86000,94041
F,65,73000,95105
F,80,43000,95050
F,19,0,95105
M,24,49000,95050
F,24,85000,95051
F,18,0,95050
F,18,0,95102
F,56,52000,95103
M,38,79000,95102
M,37,99000,95105
F,15,0,95051
M,74,25000,95103
M,79,21000,95050
M,74,12000,94041
M,20,0,95102
M,64,3000,94041
